AnioPresupuesto,CodigoIndicador,NombreIndicador,DescripcionIndicador,IndicadorFrecuencia,AñoBasePresupuesto,Avance,Meta,UnidadMedidaTotal,MetodoCalculo,DescripcionPoblacion,CodigoNivelEntidad,NombreEntidad,IdNegocioProyecto,NombreProyectoActividad,
2021,471,REPOSOS PAGADOS,ASIGNACION CORRECTA DEL PRESUPUESTO DEL NUEVO FONDO DE RIESGO LABORAL Y MATERNIDAD JUNTO CON LA EJECUCION DEL MISMO,ANUAL,2018,81384,96811,REPOSOS,CANTIDAD DE REPOSOS PAGADOS/CANTIDAD DE REPOSOS LIQUIDADOS *100,REPOSOS PAGADOS,24-1,Instituto de Previsión Social,24-1-1-1-2,SERVICIOS DE PRESTACIONES SANITARIAS,
2020,471,REPOSOS PAGADOS,ASIGNACION CORRECTA DEL PRESUPUESTO DEL NUEVO FONDO DE RIESGO LABORAL Y MATERNIDAD JUNTO CON LA EJECUCION DEL MISMO,ANUAL,2018,81384,96811,REPOSOS,CANTIDAD DE REPOSOS PAGADOS/CANTIDAD DE REPOSOS LIQUIDADOS *100,REPOSOS PAGADOS,24-1,Instituto de Previsión Social,24-1-1-1-2,SERVICIOS DE PRESTACIONES SANITARIAS,
2021,469,PORCENTAJE DE INCREMENTO DE LA POBLACION PROTEGIDA,"TOTAL DE COTIZANTES, NO CONTRIBUTIVOS Y BENEFICIARIOS CUBIERTOS POR EL SEGURO DENOMINADO POBLACION PROTEGIDA POR EL SEGURO SOCIAL",ANUAL,2018,49916,1426185,PERSONAS,(TOTAL DE ASEGURADO EN EL A?O T - TOTAL DE ASEGURADOS EN EL A?O T-1) /TOTAL DE ASEGURADOS EN EL A?O T-1*100,ASEGURADOS,24-1,Instituto de Previsión Social,24-1-1-1-2,SERVICIOS DE PRESTACIONES SANITARIAS,
2022,469,PORCENTAJE DE INCREMENTO DE LA POBLACION PROTEGIDA,"TOTAL DE COTIZANTES, NO CONTRIBUTIVOS Y BENEFICIARIOS CUBIERTOS POR EL SEGURO DENOMINADO POBLACION PROTEGIDA POR EL SEGURO SOCIAL",ANUAL,2018,49916,1426185,PERSONAS,(TOTAL DE ASEGURADO EN EL A?O T - TOTAL DE ASEGURADOS EN EL A?O T-1) /TOTAL DE ASEGURADOS EN EL A?O T-1*100,ASEGURADOS,24-1,Instituto de Previsión Social,24-1-1-1-2,SERVICIOS DE PRESTACIONES SANITARIAS,
2020,469,PORCENTAJE DE INCREMENTO DE LA POBLACION PROTEGIDA,"TOTAL DE COTIZANTES, NO CONTRIBUTIVOS Y BENEFICIARIOS CUBIERTOS POR EL SEGURO DENOMINADO POBLACION PROTEGIDA POR EL SEGURO SOCIAL",ANUAL,2018,49916,1426185,PERSONAS,(TOTAL DE ASEGURADO EN EL A?O T - TOTAL DE ASEGURADOS EN EL A?O T-1) /TOTAL DE ASEGURADOS EN EL A?O T-1*100,ASEGURADOS,24-1,Instituto de Previsión Social,24-1-1-1-2,SERVICIOS DE PRESTACIONES SANITARIAS,
2020,670,PORCENTAJE DE NNA VULNERABLES DESINSTITUCIONALIZADOS                      ,"CONSISTE EN LA MEDICION DE LA CANTIDAD DE NI?OS, NI?AS Y ADOLESCENTES QUE EGRESAN DE LAS ENTIDADES DE ABRIGO Y/O INGRESAN AL ACOGIMIENTO FAMILIAR CON RELACION AL NUMERO DE NNA EN SITUACION DE CUIDADO ESPECIAL.                                                    ",SEMESTRAL,2019,0,6,,(NNA VULNERABLES DESINSTITUCIONALIZADOS/ NNA EN MEDIDA DE PROTECCION) *100                        ,,20-Dec,Ministerio de la Niñez y la Adolescencia,12-20-2-2-3,PROTECCIÓN ESPECIAL A NNA SEPARADOS DE SU FAMILIA,
2020,667,PORCENTAJE DE NNA QUE PERCIBEN ALGUN TIPO DE SUBSIDIO PARA EL ACOGIMIENTO FAMILIAR                        ,"CONSISTE EN LA MEDICION DE LA CANTIDAD DE NI?OS, NI?AS Y ADOLESCENTES EN ACOGIMIENTO FAMILIAR QUE SE ENCUENTRAN PERCIBIENDO ALGUN TIPO DE SUBSIDIO                                                   ",MENSUAL,2018,0,0,,(NNA CON SUBSIDIO / NNA EN ACOGIMIENTO FAMILIAR)X100                 ,,20-Dec,Ministerio de la Niñez y la Adolescencia,12-20-2-2-3,PROTECCIÓN ESPECIAL A NNA SEPARADOS DE SU FAMILIA,
2021,1022,PORCENTAJE DE LA POBLACION ATENDIDA EN EL DEPARTAMENTO DE  MISIONES EN EL A?O T,CORRESPONDE A LA CANTIDAD DE PERSONAS ATENDIDAS EN EL DEPARTAMENTO  EN RELACION A LA POBLACION DEPARTAMENTAL.,TRIMESTRAL,2018,104457,128130,PERSONAS,NUMERO DE PERSONAS ATENDIDAS EN EL A?O T/POBLACION DEPARTAMENTAL EN EL A?O T *100,PERSONAS ATENDIDAS EN EL DEPARTAMENTO DE MISIONES,8-Dec,Ministerio de Salud Pública y Bienestar Social,12-8-2-2-8,SERV. DE ATEN. INT. A POBLACIÓN DE MISIONES,
2020,1022,PORCENTAJE DE LA POBLACION ATENDIDA EN EL DEPARTAMENTO DE  MISIONES EN EL A?O T,CORRESPONDE A LA CANTIDAD DE PERSONAS ATENDIDAS EN EL DEPARTAMENTO  EN RELACION A LA POBLACION DEPARTAMENTAL.,TRIMESTRAL,2018,104457,128130,PERSONAS,NUMERO DE PERSONAS ATENDIDAS EN EL A?O T/POBLACION DEPARTAMENTAL EN EL A?O T *100,PERSONAS ATENDIDAS EN EL DEPARTAMENTO DE MISIONES,8-Dec,Ministerio de Salud Pública y Bienestar Social,12-8-2-2-8,SERV. DE ATEN. INT. A POBLACIÓN DE MISIONES,
2021,731,% DE ALUMNOS QUE RECIBEN MERIENDA ESCOLAR,SE MEDIRA LA CANTIDAD DE ALUMNOS QUE RECIBIERON MERIENDA ESCOLAR EN INSTITUCIONES OFICIALES Y SUBVENCIONADOS DE DPTO. DE SAN PEDRO,TRIMESTRAL,2020,87000,59158,ALUMNOS,(CANTIDAD DE ALUMNOS QUE RECIBEN MERIENDA ESCOLAR EN EL A?O T/ CANTIDAD DE ALUMNOS MATRICULADOS EN INSTITUCIONES EDUCATIVAS OFICIALES Y SUBVENCIONADAS A CARGO DE LA GOBERNACION EN EL A?O T) *100,ALUMNOS MATRICULADOS EN INSTITUCIONES PUBLICAS EDUCATIVAS PUBLICAS; SUBVENCIONADAS Y PRIVADAS DEL DEPARTAMENTO.,22-2,Gobierno Departamental de San Pedro,22-2-1-1-8,PROVISION DE MERIENDA ESCOLAR,
