No,Regla de Negocio,Bussines Rules,Descripcion Detallada,Description detail
1,Debe existir un unico identificador por proyecto (Id_Proyecto),There must be a unique identifier per project (Project_Id),"Los proyectos en el sistema de mapainversiones deben ser unicos, en caso que no existe se debera tener uno generado que pueda establecerse como llave unica de los proyectos y ser numerico para facilitar las consultas.
Actualmente el proyecto unico de inversion para la plataforma de panamá se crea con una concatenación de atributos:
--idproyecto nuevo debe ser : entidad, tipo presupuest (1), progama, subprograma, actividad
cast(ficha.codigo+ejec.tipo+ejec.programa+ejec.subprograma+ejec.actividad as int) as idproyecto","The projects in the investment map system must be unique. If they do not exist, one must be generated that can be established as a unique key for the projects and be numerical to facilitate queries.
Currently the single investment project for the Panama platform is created with a concatenation of attributes:
--new projectid must be: entity, budget type (1), program, subprogram, activity
cast(file.code+execution.type+execution.program+execution.subprogram+execution.activity as int) as projectid"
2,Debe existir un unico codigo para identificar el proyecto en el sistema de inversion publica (codigo snip),There must be a single code to identify the project in the public investment system (SNIP code),"Los proyectos en los sistemas de inversion deben tener un codigo unico de indentificacion que pueda ser entendido por funcionarios y/o ciudadanos para hacer monitoreo del proyecto desde el buscador","Projects in investment systems must have a unique identification code that can be understood by officials and/or citizens to monitor the project from the search engine."
3,Los proyectos deben tener asociado un sector,Projects must have an associated sector,"Los proyectos en mapa inversiones deben tener asociado un sector por el cual se puedan realizar filtros o perfiles asociados a sectores","Projects on the investment map must have an associated sector for which filters or profiles associated with sectors can be created."
4,Los proyectos deben tener asociado una entidad ejecutora y/o responsable del proyecto ,Projects must have an associated executing entity and/or person responsible for the project.,Los proyectos en mapa inversiones deben estar asociados a entidades ejecutoras y/o responsables del proyecto en panama las entidades ejecutorasy responsables del proyecto son las mismas,"The projects in the investment map must be associated with executing entities and/or those responsible for the project in Panama. The executing entities and those responsible for the project are the same."
5,Los proyectos deben contener una fuente de financiacion y organismo de financiacion asociado,Projects must contain a funding source and associated funding body.,"Los proyectos en mapa inversionens deben contar fuentes de financiacion y es importante conocer los organismos financiadores, esto para determinar de donde provieneen los recursos y como es el flujo de estos","The projects in the investment map must have financing sources and it is important to know the financing organizations, this to determine where the resources come from and what the flow of these is like."
6,Los nombres de los proyectos deben ser claros y no tener abreviaciones que no sean facilmente entendible por los ciudadanos,The names of the projects must be clear and not have abbreviations that are not easily understood by citizens.,"La informacion de los proyectos debe ser lo mas entendible por los ciudadanos la utilizacion de abreviaciones que puedan confundir al ciudadano deben ser revisadas y evaluadas durante el proceso de calidad de datos","The information on the projects must be as understandable by citizens as possible. The use of abbreviations that may confuse citizens must be reviewed and evaluated during the data quality process."
7,Los proyectos deben tener fecha inicio (año inicio) y fecha final (año final),Projects must have a start date (start year) and end date (end year),"Los proyectos en mapa inversiones se filtran por rangos de año, para los ciudadanos es importante generar filtros dentro del mapa con esta caracteristica que permita conocer el horizonte del proyecto y la duracion del mismo","The projects on the investment map are filtered by year ranges, for citizens it is important to generate filters within the map with this characteristic that allows knowing the horizon of the project and its duration."
8,Proyectos deben tener el monto aprobado y/o vigente asociado al proyecto.,Projects must have the approved and/or current amount associated with the project.,"Para los ciudadanos es importante conocer el costo asociado al proyecto, cada gobierno define cual es la variable que identifica mejor este valor ","For citizens, it is important to know the cost associated with the project; each government defines which variable best identifies this value."
9,Los proyectos deben tener estados y/o etapas que identifiquen el estado del proyecto ,Projects must have states and/or stages that identify the status of the project,"Los ciudadanos buscan conocer los estados y/o etapas de los proyectos para poder monitorearlos.","Citizens seek to know the statuses and/or stages of the projects in order to monitor them."
10,Los proyectos deben tener actividades asociadas,Projects must have associated activities,Se espera que los proyectos tengan actividades asociadas,Projects are expected to have associated activities
11,Los proyectos deben tener un avance fisico (fisical progress) superior 0 en los diferentes estados,Projects must have a physical progress greater than 0 in the different states,"Si los proyectos tienen un avance fisico relacionado se espera que este sea mayor a 0 y no superior a 100%","If the projects have a related physical progress, it is expected that this will be greater than 0 and not greater than 100%."
12,Dentro de las lineas presupuestales de inversion del presupuesto deben existir proyectos de inversion asociados a traves del codigo snip,Within the budget investment lines of the budget there must be investment projects associated through the SNIP code,"Cuando se realiza el presupuesto y en este se definen lineas presupuestales se define a que proyectos va asociado a traves del codigo snip","When the budget is made and budget lines are defined, it is defined which projects it is associated with through the SNIP code."
