No,Regla de Negocio,Descripcion Detallada
1,Debe existir un unico identificador por proyecto (Id_Proyecto),"Los proyectos en el sistema de mapainversiones deben ser unicos, en caso que no existe se debera tener uno generado que pueda establecerse como llave unica de los proyectos y ser numerico para facilitar las consultas"
2,Debe existir un unico codigo para identificar el proyecto en el sistema de inversion publica (cod_snip),Los proyectos en los sistemas de inversion deben tener un codigo unico de indentificacion que pueda ser entendido por funcionarios y/o ciudadanos para hacer monitoreo del proyecto desde el buscador
3,Los proyectos deben tener asociado un sector o funcion,Los proyectos en mapa inversiones deben tener asociado un sector por el cual se puedan realizar filtros o perfiles asociados a sectores
4,Los proyectos deben tener asociado una entidad ejecutora y/o responsable del proyecto,Los proyectos en mapa inversiones deben estar asociados a entidades ejecutoras y/o responsables del proyecto en republica dominicana las entidades ejecutoras y responsables del proyecto son las mismas
5,Los proyectos deben contener una fuente de financiacion y organismo de financiacion asociado  ,"Los proyectos en mapa inversionens deben contar fuentes de financiacion y es importante conocer los organismos financiadores, esto para determinar de donde provieneen los recursos y como es el flujo de estos"
6,"Los proyectos deben contener una descripcion adecuada del mismo, con caracteres y palabras que contextualicen un poco la caracteristica general de proyecto","Los proyectos en mapa inversionens deben contar con una descripcion adecuada, dado que esto permitira explicarle a los ciudadanos de que se trata el proyecto dentro de los perfiles de proyecto y debe tener palabras coherentes "
7,Los proyectos deben tener fecha inicio (año inicio) y fecha final (año final),"Los proyectos en mapa inversiones se filtran por rangos de año, para los ciudadanos es importante generar filtros dentro del mapa con esta caracteristica que permita conocer el horizonte del proyecto y la duracion del mismo"
8,Proyectos deben tener el monto (costo) aprobado y/o vigente asociado al proyecto. Para caso dominicana es el costo_total,"Para los ciudadanos es importante conocer el costo asociado al proyecto, cada gobierno define cual es la variable que identifica mejor este valor "
9,"Los proyectos deben tener estados y/o etapas que identifiquen claramente el estado del proyecto para el caso de dominicana los posibles estados actuales son(En reevaluacion o Aprobado, terminado, en ejecucion, paralizado)",Los ciudadanos buscan conocer los estados y/o etapas de los proyectos para poder monitorearlos.
10,Los proyectos deben tener un avance fisico programado en el cronograma esto para cada uno de los estados,"Cuando se configuran los proyectos deben configurarse o tener en el cronograma los componentes y metas fisicas definidas, para poder realiziar seguimiento. En Mapa Inversiones se busca que los ciudadanos puedan hacer el seguimiento de como avanzan los proyectos a nivel fisico"
